DATE,RATE
2019-06-14 00:00:000000,6.9241
2019-06-15 00:00:000000,6.9254
2019-06-16 00:00:000000,6.9254
2019-06-17 00:00:000000,6.924984
2019-06-18 00:00:000000,6.9268
2019-06-19 00:00:000000,6.9048
2019-06-20 00:00:000000,6.9057
2019-06-21 00:00:000000,6.8628
2019-06-22 00:00:000000,6.86996
2019-06-23 00:00:000000,6.86996
2019-06-24 00:00:000000,6.8767
2019-06-25 00:00:000000,6.8812
2019-06-26 00:00:000000,6.8897
2019-06-27 00:00:000000,6.8794
2019-06-28 00:00:000000,6.873094
2019-06-29 00:00:000000,6.8668
2019-06-30 00:00:000000,6.8668
2019-07-01 00:00:000000,6.835986
2019-07-02 00:00:000000,6.8626
2019-07-03 00:00:000000,6.885396
2019-07-04 00:00:000000,6.8711
2019-07-05 00:00:000000,6.8768
2019-07-06 00:00:000000,6.8935
2019-07-07 00:00:000000,6.8935
2019-07-08 00:00:000000,6.8909
2019-07-09 00:00:000000,6.8899
2019-07-10 00:00:000000,6.8858
2019-07-11 00:00:000000,6.8656
2019-07-12 00:00:000000,6.8719
2019-07-13 00:00:000000,6.880846
2019-07-14 00:00:000000,6.880846
2019-07-15 00:00:000000,6.874
2019-07-16 00:00:000000,6.8741
2019-07-17 00:00:000000,6.882525
2019-07-18 00:00:000000,6.8801
2019-07-19 00:00:000000,6.8755
2019-07-20 00:00:000000,6.8819
2019-07-21 00:00:000000,6.8819
2019-07-22 00:00:000000,6.879
2019-07-23 00:00:000000,6.883499
2019-07-24 00:00:000000,6.8823
2019-07-25 00:00:000000,6.875644
2019-07-26 00:00:000000,6.878949
2019-07-27 00:00:000000,6.8798
2019-07-28 00:00:000000,6.8798
2019-07-29 00:00:000000,6.8932
2019-07-30 00:00:000000,6.8882
2019-07-31 00:00:000000,6.8818
2019-08-01 00:00:000000,6.8879
2019-08-02 00:00:000000,6.9025
2019-08-03 00:00:000000,6.9402
2019-08-04 00:00:000000,6.9402
2019-08-05 00:00:000000,6.942
2019-08-06 00:00:000000,7.0442
2019-08-07 00:00:000000,7.047607
2019-08-08 00:00:000000,7.0434
2019-08-09 00:00:000000,7.051246
2019-08-10 00:00:000000,7.062523
2019-08-11 00:00:000000,7.062523
2019-08-12 00:00:000000,7.0629
2019-08-13 00:00:000000,7.0636
2019-08-14 00:00:000000,7.045613
2019-08-15 00:00:000000,7.0279
2019-08-16 00:00:000000,7.0389
2019-08-17 00:00:000000,7.0429
2019-08-18 00:00:000000,7.0429
2019-08-19 00:00:000000,7.0462
2019-08-20 00:00:000000,7.0509
2019-08-21 00:00:000000,7.0541
2019-08-22 00:00:000000,7.0744
2019-08-23 00:00:000000,7.0935
2019-08-24 00:00:000000,7.096
2019-08-25 00:00:000000,7.096
2019-08-26 00:00:000000,7.143789
2019-08-27 00:00:000000,7.1605
2019-08-28 00:00:000000,7.157592
2019-08-29 00:00:000000,7.1669
2019-08-30 00:00:000000,7.151798
2019-08-31 00:00:000000,7.1567
2019-09-01 00:00:000000,7.1567
2019-09-02 00:00:000000,7.1608
2019-09-03 00:00:000000,7.1823
2019-09-04 00:00:000000,7.1665
2019-09-05 00:00:000000,7.1343
2019-09-06 00:00:000000,7.1468
2019-09-07 00:00:000000,7.1157
2019-09-08 00:00:000000,7.1157
2019-09-09 00:00:000000,7.124419
2019-09-10 00:00:000000,7.1166
2019-09-11 00:00:000000,7.1133
2019-09-12 00:00:000000,7.079564
2019-09-13 00:00:000000,7.0795
2019-09-14 00:00:000000,7.0794
