ticker,name,exchange,is_active
0425B,PCA INTL,,N
1700Q,SUNSOURCE LP-A,,N
2169Q,BANK NEW HAMPSH,,N
2185B,SCOR US CORP,,N
2510Q,ATRIA COMMUN,,N
2566Q,CIS TECH INC,,N
2712Q,LIVE ENTERTAIN,,N
3189B,METROPL REALTY,,N
3207B,INTEGR MICRO,,N
3219B,PIONEER FIN SVC,,N
3262Q,CMS ENERGY -G,,N
3290Q,CHARTER BANCSHS,,N
3346Q,US BANCORP-OLD,,N
3387Q,FLOWERS INDS,,N
3393Q,FLETCH BLDG-ADR,,N
3542B,GRANT GEOPHYSCL,,N
3574Q,FOUR MEDIA CO,,N
3614B,CITICORP,,N
3615B,REGAL CINEMAS,,N
3AHTC,AMERICANA HOTEL,,N
3AMMR,AMRE INC,,N
3CYTB,CRYSTAL BRANDS,,N
3HOGL,HONDO OIL & GAS,,N
3HOMS,HOME STATE HLDG,,N
3NSTR,NORTHSTAR HLTH,,N
3SBPC,STANDARD BRAND,,N
3SSFT,SCIENTIFIC SOFT,,N
3VERS,VERSATILITY INC,,N
3WALO,WAHLCO ENVIR SY,,N
7556A,ENVIRON SYS CO,,N
8791B,DRECO ENERGY SV,,N
9049B,METROPL FINL CP,,N
9232B,CLUB MED INC,,N
9255B,ARI HOLDINGS,,N
9441B,BORDEN INC,,N
9668B,HECHINGER CO,,N
9703B,BELDEN & BLAKE,,N
9725B,ZILOG INC -OLD,,N
9726B,AMTROL INC,,N
9895B,KINETIC CON-OLD,,N
9896B,BELL SPORTS,,N
9900B,RIVERWOOD INTL,,N
9975B,OUTBOARD MARINE,,N
A,AGILENT TECH,NYSE,Y
A.1,ASTRA AB-A ADR,,N
AA,ALCOA CORP,NYSE,Y
AAAP,ADV ACCELERATOR,NSDQ,Y
AABA,ALTABA INC,NSDQ,N
AABC,ACCESS ANYTIME,,N
AACAY,AAC TECH HLDGS,OTC,Y
AACB,ALLIANCE ATLNTS,,N
AACC,ASSET ACCEPTNCE,NSDQ,N
AACG,ATA CREATIV GLB,NSDQ,Y
AACH,AAC HOLDINGS,OTC,Y
AACI,ALL AMER COMM,,N
AACPF,AUSTRALIA ACQ,OTC,N
AADV,ADVANTAGE BNCRP,,N
AAGIY,AIA GROUP LTD,OTC,Y
AAH,AMBASSADOR APTS,,N
AAI,AIRTRAN HLDGS,,N
AAI.1,AQUA ALLIANCE,,N
AAII.,AAIPHARMA INC,,N
AAIIQ,ALABAMA AIRCRFT,OTC,Y
AAIR,AVANTAIR INC,OTC,N
AAL,AMER AIRLINES,NSDQ,Y
AAL.,ALEX & ALEX SVC,,N
AALR,ADV LOGIC RESH,,N
AAMC,ALTISOURCE ASST,NYSE,Y
AAMC.,AMER ASSET MGMT,,N
AAME,ATLANTIC AMERCN,NSDQ,Y
AAMRQ,AMR CORP,OTC,N
AAN,AARONS INC,NYSE,Y
AAN.,AARONS INC-OLD,,N
AANB,ABIGAIL ADAMS,,N
AANI,AMEDIA NETWORKS,,N
AAOI,APPLIED OPTOELE,NSDQ,Y
AAON,AAON INC,NSDQ,Y
AAP,ADVANCE AUTO PT,NYSE,Y
AAP.,AMWAY ASIA PAC,,N
AAPCF,ATLANTIC AL PTR,OTC,N
AAPJ,AAP INC,OTC,Y
AAPL,APPLE INC,NSDQ,Y
AASAY,APASCO SA DE CV,,N
AASP,ALL-AMERICAN SP,OTCBB,Y
AAT,AMER ASSETS TR,NYSE,Y
AATI,ADV ANALGC TECH,,N
AATI.,ANALYSIS & TECH,,N
AATT,AAVID THERMAL,,N
AAU,ALMADEN MINERAL,NYSE,Y
AAUKY,ANGLO AMER -PLC,OTC,N
AAVVF,ADV OIL&GAS LTD,OTC,Y
AAWHQ,ATLAS AIR WORLD,,N
AAWW,ATLAS AIR WORLD,NSDQ,Y
AAXN,AXON ENTERPRISE,NSDQ,Y
AB,ALLIANCEBERNSTN,NYSE,Y
AB.3,ALEX BROWN INC,,N
ABAT,ADV BATTRY TECH,OTC,N
ABAX,ABAXIS INC,NSDQ,N
ABB,ABB LTD-ADR,NYSE,Y
ABBBY,ABB AB-ADR,,N
ABBC,ABINGTON BANCRP,,N
ABBK,ABINGTON BCP,,N
ABBV,ABBVIE INC,NYSE,Y
ABC,AMERISOURCEBRGN,NYSE,Y
ABCB,AMERIS BANCORP,NSDQ,Y
ABCD,CAMBIUM LEARNG,NSDQ,N
ABCE,ABCO ENERGY NEW,OTC,Y
ABCI.,ALLIED BANK CAP,,N
ABCL,ALLIANCE BNCP,,N
ABCN,AMER BANCRP NEV,,N
ABCO,ADVISORY BOARD,NSDQ,N
ABCO.,AMERICAN BLDG,,N
ABCP,AMBASE CORP,OTCBB,Y
ABCRQ,ABC-NACO INC,,N
ABCW,ANCHOR BANCP WI,NSDQ,N
ABCWQ,ANCHOR BCP-WISC,OTC,N
ABDC,ALCENTRA CAPITL,NSDQ,N
ABDNY,ABERDEEN ASSET,OTC,N
ABDR.,ABACUS DIRECT,,N
ABDS,ALLEGRO BIODSL,,N
ABE.1,ABEX INC,,N
ABEO,ABEONA THERAPTC,NSDQ,Y
ABEV,AMBEV-PR ADR,NYSE,Y
ABF,AIRBORNE INC,,N
ABFIQ,AMER BUS FINL,,N
ABG,ASBURY AUTO GRP,NYSE,Y
ABGA,ALLIED BKSHARES,,N
ABGBY,ABENGOA SA,OTC,N
ABGLF,ACACIA MINING,OTC,Y
ABGX,ABGENIX INC,,N
ABHD,ABTECH HOLDINGS,OTC,N
ABHH,AMER BANK NOTE,,N
ABI.,AMER BKRS INS,,N
ABI.2,APPLIED BIOSYST,,N
ABII,ABRAXIS BIOSCI,,N
ABILF,ABILITY INC,OTC,Y
ABIO,ARCA BIOPHARMA,NSDQ,Y
ABIX,ABATIX CORP,OTC,N
ABIZQ,ADELPHIA BUS,,N
ABKFQ,AMBAC FINL-OLD,OTC,N
ABKR,ANCHOR BANCP-NY,,N
ABLE,ABLE ENERGY INC,OTC,Y
ABLSQ,ABLE LABS,,N
ABLT,AMER BILTRITE,OTC,Y
ABLYF,ABLYNX NV,OTC,N
ABM,ABM INDUSTRIES,NYSE,Y
ABMC,AMERICAN BIO MD,OTC,Y
ABMD,ABIOMED INC,NSDQ,Y
ABMT,ADVANCED BIOMED,OTC,Y
ABNJ,AMERICAN BANCP,,N
ABNK,ALTAPACIFIC BCP,OTC,N
ABNK.,AMEGY BCP INC,,N
ABNKQ,AMER BANKNOTE,,N
ABNYY,ABN AMRO HLDG,,N
ABOSQ,ARBIOS SYS INC,,N
ABOV,ABOVENET COMM,,N
ABP.1,AMER BUS-GA,,N
ABPI,ACCENTIA BIOPHR,OTC,N
ABR,ARBOR RLTY TRST,NYSE,Y
ABR.1,ARBOR PPTY TRST,,N
ABRS,AMBERS STORES,,N
ABRX.,ABR INFO SVCS,,N
ABS.,ALBERTSONS INC,,N
ABSC,AURORA BIOSCNCS,,N
ABSI,ABS INDUSTRIES,,N
ABT,ABBOTT LABS,NYSE,Y
ABTC,ABT BLDG PRODS,,N
ABTE,ABLE TELCOM HLD,,N
ABTI,ALPHA BETA TECH,,N
ABTX,ALLEGIANCE BCSH,NSDQ,Y
ABTXQ,AGRIBIOTECH INC,,N
ABUS,ARBUTUS BIOPH,NSDQ,Y
ABVA,ALLIANCE BKSH,NSDQ,N
ABVC,AMER BRIVISION,OTC,Y
ABVT,ABOVENET INC,,N
ABWG,AB WATLEY GROUP,OTC,N
ABWN,AIRBORNE WIRLSS,OTC,Y
ABWTQ,ABITIBIBOWATER,,N
ABY.,ABITIBI-CONSOL,,N
ABZA,ABAZIAS INC,,N
AC,ASSOC CAP GRP,NYSE,Y
ACA,ARCOSA INC,NYSE,Y
ACA.3,ARCADIAN CORP,,N
ACAD,ACADIA PHARMA,NSDQ,Y
ACAM.,AUTOCAM CORP,,N
ACAMY,ACAMBIS PLC-ADR,,N
ACAP,AMER PHYSCN CAP,,N
ACARQ,ACTIVECARE INC,,Y
ACAS,AMER CAP LTD,NSDQ,N
ACAT,ARCTIC CAT INC,NSDQ,N
ACB,AURORA CANNABIS,NYSE,Y
ACBA,AMER CMNTY BKSH,,N
ACBCQ,ALBINA COMMN BC,OTC,Y
ACBI,ATLANTIC CAP BC,NSDQ,Y
ACC,AMER CAMPUS CTY,NYSE,Y
ACCA,ACACIA AUTOMOTV,OTC,Y
ACCB,ACCESS BEYOND,,N
ACCC,ACC CORP,,N
ACCD,ACCORD NETWORKS,,N
ACCE,ACCRES HOLDING,OTC,N
ACCL,ACCELRYS INC,NSDQ,N
ACCMA,ASSOC COMMS  A,,N
ACCO,ACCO BRANDS CP,NYSE,Y
ACCS.,ACCESS HLTH INC,,N
ACCUF,ACCUGRAPH CORP,,N
ACCY,ALTERNATIVE CON,,N
ACDO,ACCREDO HEALTH,,N
ACDU,ACCREDITED BUS,OTC,N
ACDVF,AIR CANADA,OTC,Y
ACEC,ACE COMM CORP,,N
ACEE,ACME ELECTRIC,,N
ACEL,ACCEL ENTERTNMT,NYSE,Y
ACEL.,TAMIR BIOTECH,,N
ACER,ACER THERAPEUTS,NSDQ,Y
ACETQ,ACETO CORP,OTC,Y
ACF,AMERICREDIT CP,,N
ACFC,ATL COAST FINL,NSDQ,N
ACFN,ACORN ENERGY IN,OTC,Y
ACGBY,AGRI BANK CHINA,OTC,Y
ACGI,THE AMACORE GRP,OTC,Y
ACGJ,ACI GLOBAL CORP,OTC,Y
ACGL,ARCH CAP GP LTD,NSDQ,Y
ACH,ALUMINUM CP-ADR,NYSE,Y
ACHC,ACADIA HEALTHCR,NSDQ,Y
ACHI.,AMER COUNTRY,,N
ACHN,ACHILLION PHARM,NSDQ,N
ACHV,ACHIEVE LIFESCI,NSDQ,Y
ACIA,ACACIA COMMUNIC,NSDQ,Y
ACIU,AC IMMUNE SA,NSDQ,Y
ACIW,ACI WORLDWIDE,NSDQ,Y
ACKH,ARMSTRONG HLDGS,,N
ACL,ALCON INC,TSX,N
ACLA,ACLARA BIOSCIEN,,N
ACLH,ACT CLEAN TECH,OTC,Y
ACLI,AMER COMML LINE,,N
ACLR,ACCENT COLOR,,N
ACLS,AXCELIS TECH,NSDQ,Y
ACM,AECOM,NYSE,Y
ACME,ACME COMM INC,OTC,N
ACMI,ACCUMED INTL,,N
ACMM,ACCOM INC,OTC,N
